"value","unit","charge_id","timestamp"
"51200","Wh","24441","2024-07-11 10:53:54+00"
"51300","Wh","24441","2024-07-11 10:54:54+00"
"51500","Wh","24441","2024-07-11 10:55:54+00"
"51700","Wh","24441","2024-07-11 10:56:54+00"
"51900","Wh","24441","2024-07-11 10:57:54+00"
"52000","Wh","24441","2024-07-11 10:58:54+00"
"52200","Wh","24441","2024-07-11 10:59:54+00"
"52400","Wh","24441","2024-07-11 11:00:54+00"
"52600","Wh","24441","2024-07-11 11:01:54+00"
"52800","Wh","24441","2024-07-11 11:02:55+00"
"52900","Wh","24441","2024-07-11 11:03:55+00"
"53100","Wh","24441","2024-07-11 11:04:54+00"
"53300","Wh","24441","2024-07-11 11:05:54+00"
"53500","Wh","24441","2024-07-11 11:06:54+00"
"53700","Wh","24441","2024-07-11 11:07:54+00"
"53900","Wh","24441","2024-07-11 11:08:54+00"
"54000","Wh","24441","2024-07-11 11:09:54+00"
"54200","Wh","24441","2024-07-11 11:10:54+00"
"54400","Wh","24441","2024-07-11 11:11:54+00"
"54500","Wh","24441","2024-07-11 11:12:54+00"
"54700","Wh","24441","2024-07-11 11:13:54+00"
"54900","Wh","24441","2024-07-11 11:14:54+00"
"55100","Wh","24441","2024-07-11 11:15:54+00"
"55200","Wh","24441","2024-07-11 11:16:54+00"
"55400","Wh","24441","2024-07-11 11:17:54+00"
"55600","Wh","24441","2024-07-11 11:18:54+00"
"55800","Wh","24441","2024-07-11 11:19:54+00"
"55900","Wh","24441","2024-07-11 11:20:54+00"
"56100","Wh","24441","2024-07-11 11:21:54+00"
"56300","Wh","24441","2024-07-11 11:22:54+00"
"56500","Wh","24441","2024-07-11 11:23:54+00"
"56700","Wh","24441","2024-07-11 11:24:54+00"
"56800","Wh","24441","2024-07-11 11:25:54+00"
"57000","Wh","24441","2024-07-11 11:26:54+00"
"57200","Wh","24441","2024-07-11 11:27:54+00"
"57400","Wh","24441","2024-07-11 11:28:54+00"
"57500","Wh","24441","2024-07-11 11:29:54+00"
"57700","Wh","24441","2024-07-11 11:30:54+00"
"57900","Wh","24441","2024-07-11 11:31:54+00"
"58000","Wh","24441","2024-07-11 11:32:54+00"
"58200","Wh","24441","2024-07-11 11:33:54+00"
"58400","Wh","24441","2024-07-11 11:34:54+00"
"58500","Wh","24441","2024-07-11 11:35:54+00"
"58700","Wh","24441","2024-07-11 11:36:54+00"
"58900","Wh","24441","2024-07-11 11:37:54+00"
"59100","Wh","24441","2024-07-11 11:38:54+00"
"59300","Wh","24441","2024-07-11 11:39:54+00"
"59500","Wh","24441","2024-07-11 11:40:54+00"
"59600","Wh","24441","2024-07-11 11:41:54+00"
"59800","Wh","24441","2024-07-11 11:42:54+00"
"60000","Wh","24441","2024-07-11 11:43:53+00"
"60200","Wh","24441","2024-07-11 11:44:53+00"
"60300","Wh","24441","2024-07-11 11:45:54+00"
"60500","Wh","24441","2024-07-11 11:46:54+00"
"60700","Wh","24441","2024-07-11 11:47:54+00"
"60900","Wh","24441","2024-07-11 11:48:54+00"
"61100","Wh","24441","2024-07-11 11:49:54+00"
"61200","Wh","24441","2024-07-11 11:50:54+00"
"61400","Wh","24441","2024-07-11 11:51:54+00"
"61600","Wh","24441","2024-07-11 11:52:54+00"
"61700","Wh","24441","2024-07-11 11:53:54+00"
"61900","Wh","24441","2024-07-11 11:54:54+00"
"62100","Wh","24441","2024-07-11 11:55:55+00"
"62300","Wh","24441","2024-07-11 11:56:55+00"
"62500","Wh","24441","2024-07-11 11:57:55+00"
"62600","Wh","24441","2024-07-11 11:58:55+00"
"62800","Wh","24441","2024-07-11 11:59:55+00"
"63000","Wh","24441","2024-07-11 12:00:55+00"
"63100","Wh","24441","2024-07-11 12:01:55+00"
"63300","Wh","24441","2024-07-11 12:02:55+00"
"63500","Wh","24441","2024-07-11 12:03:55+00"
"63700","Wh","24441","2024-07-11 12:04:55+00"
"63900","Wh","24441","2024-07-11 12:05:55+00"
"64000","Wh","24441","2024-07-11 12:06:55+00"
"64200","Wh","24441","2024-07-11 12:07:55+00"
"64400","Wh","24441","2024-07-11 12:08:55+00"
"64600","Wh","24441","2024-07-11 12:09:55+00"
"64700","Wh","24441","2024-07-11 12:10:55+00"
"64900","Wh","24441","2024-07-11 12:11:55+00"
"65100","Wh","24441","2024-07-11 12:12:55+00"
"65300","Wh","24441","2024-07-11 12:13:55+00"
"65500","Wh","24441","2024-07-11 12:14:54+00"
"65600","Wh","24441","2024-07-11 12:15:54+00"
"65800","Wh","24441","2024-07-11 12:16:54+00"
"66000","Wh","24441","2024-07-11 12:17:54+00"
"66200","Wh","24441","2024-07-11 12:18:54+00"
"66300","Wh","24441","2024-07-11 12:19:54+00"
"66500","Wh","24441","2024-07-11 12:20:54+00"
"66700","Wh","24441","2024-07-11 12:21:54+00"
"66900","Wh","24441","2024-07-11 12:22:54+00"
"67000","Wh","24441","2024-07-11 12:23:55+00"
"67200","Wh","24441","2024-07-11 12:24:55+00"
"67400","Wh","24441","2024-07-11 12:25:55+00"
"67600","Wh","24441","2024-07-11 12:26:55+00"
"67700","Wh","24441","2024-07-11 12:27:55+00"
"67900","Wh","24441","2024-07-11 12:28:55+00"
"68100","Wh","24441","2024-07-11 12:29:55+00"
"68300","Wh","24441","2024-07-11 12:30:55+00"
"68400","Wh","24441","2024-07-11 12:31:55+00"
"68600","Wh","24441","2024-07-11 12:32:55+00"
"68800","Wh","24441","2024-07-11 12:33:55+00"
"69000","Wh","24441","2024-07-11 12:34:55+00"
"69100","Wh","24441","2024-07-11 12:35:55+00"
"69300","Wh","24441","2024-07-11 12:36:55+00"
"69500","Wh","24441","2024-07-11 12:37:55+00"
"69700","Wh","24441","2024-07-11 12:38:55+00"
"69800","Wh","24441","2024-07-11 12:39:55+00"
"70000","Wh","24441","2024-07-11 12:40:55+00"
"70200","Wh","24441","2024-07-11 12:41:55+00"
"70400","Wh","24441","2024-07-11 12:42:55+00"
"70500","Wh","24441","2024-07-11 12:43:55+00"
"70700","Wh","24441","2024-07-11 12:44:55+00"
"70900","Wh","24441","2024-07-11 12:45:55+00"
"71100","Wh","24441","2024-07-11 12:46:55+00"
"71300","Wh","24441","2024-07-11 12:47:55+00"
"71500","Wh","24441","2024-07-11 12:48:55+00"
"71600","Wh","24441","2024-07-11 12:49:54+00"
"71800","Wh","24441","2024-07-11 12:50:54+00"
"72000","Wh","24441","2024-07-11 12:51:54+00"
"72200","Wh","24441","2024-07-11 12:52:54+00"
"72300","Wh","24441","2024-07-11 12:53:54+00"
"72500","Wh","24441","2024-07-11 12:54:55+00"
"72700","Wh","24441","2024-07-11 12:55:55+00"
"72900","Wh","24441","2024-07-11 12:56:55+00"
"73000","Wh","24441","2024-07-11 12:57:55+00"
"73200","Wh","24441","2024-07-11 12:58:55+00"
"73400","Wh","24441","2024-07-11 12:59:56+00"
"73600","Wh","24441","2024-07-11 13:00:56+00"
"73800","Wh","24441","2024-07-11 13:01:56+00"
"73900","Wh","24441","2024-07-11 13:02:56+00"
"74100","Wh","24441","2024-07-11 13:03:56+00"
"74300","Wh","24441","2024-07-11 13:04:56+00"
"74500","Wh","24441","2024-07-11 13:05:56+00"
"74700","Wh","24441","2024-07-11 13:06:56+00"
"74800","Wh","24441","2024-07-11 13:07:56+00"
"75000","Wh","24441","2024-07-11 13:08:56+00"
"75200","Wh","24441","2024-07-11 13:09:56+00"
"75400","Wh","24441","2024-07-11 13:10:56+00"
"75500","Wh","24441","2024-07-11 13:11:56+00"
"75700","Wh","24441","2024-07-11 13:12:56+00"
"75900","Wh","24441","2024-07-11 13:13:56+00"
"76100","Wh","24441","2024-07-11 13:14:56+00"
"76200","Wh","24441","2024-07-11 13:15:56+00"
"76400","Wh","24441","2024-07-11 13:16:56+00"
"76600","Wh","24441","2024-07-11 13:17:56+00"
"76800","Wh","24441","2024-07-11 13:18:56+00"
"77000","Wh","24441","2024-07-11 13:19:56+00"
"77200","Wh","24441","2024-07-11 13:20:55+00"
"77300","Wh","24441","2024-07-11 13:21:55+00"
"77500","Wh","24441","2024-07-11 13:22:55+00"
